"","id","host_id","host_location","host_response_time","host_response_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","zipcode","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","daily_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","TV","WiFi","Air_Condition","Wheelchair_accessible","Kitchen","Breakfast","Elevator","Heating","Washer","Iron","Host_greets_you","Paid_parking_on_premises","Luggage_dropoff_allowed","Long_term_stays_allowed","Doorman","Pets_allowed","Smoking_allowed","Suitable_for_events","24_hour_check_in"
"60","922867",4507224,"1","1",57,"1",15,"1","1","1",20122,45.4559,9.20176,"Entire home/apt",2,3,0,1,"1",59,130,40,1,5,2,12,23,27,223,161,96,10,10,10,10,10,10,"1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","0","1"
"61","935594",5047682,"1","1",57,"1",40,"1","1","1",20121,45.47596,9.18899,"Entire home/apt",2,3,1,1,"1",130,1,1,2,0,1,22,48,63,151,30,93,9,10,10,10,10,9,"1","1","0","0","1","1","1","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0"
"62","950479",5155893,"1","1",57,"0",1,"1","1","1",20123,45.46694,9.17732,"Entire home/apt",4,3,2,3,"1",194,1,69,2,30,2,26,56,86,361,9,89,9,9,10,10,9,9,"0","1","0","0","1","1","1","0","1","0","1","1","1","1","0","1","0","0","1","0","0","0","0"
"63","976705",5344212,"1","0",57,"0",1,"1","1","1",20123,45.46816,9.1729,"Entire home/apt",5,5,3,5,"1",170,1,38,4,25,3,28,55,55,247,6,100,10,10,10,10,10,10,"0","1","0","0","1","1","0","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0"
"64","978065",5350053,"1","1",21,"0",4,"1","1","1",20144,45.45803,9.16937,"Entire home/apt",4,5,2,3,"1",95,31,80,2,20,2,0,0,0,186,52,96,10,10,10,10,9,10,"0","1","0","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","0"
"65","979042",5056483,"1","1",54,"0",847,"1","1","1",20123,45.46381,9.18829,"Entire home/apt",4,3,1,2,"1",211,66,30,1,0,3,11,28,52,277,3,87,9,9,10,9,10,9,"1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","0","0","0","1"
"66","982808",5384564,"0","1",57,"1",3,"1","0","1",20123,45.45865,9.17476,"Entire home/apt",3,3,1,1,"1",95,66,45,2,30,1,8,18,34,291,416,99,10,10,10,10,10,10,"0","1","0","0","1","1","1","0","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0"
"67","996428",1452929,"1","1",57,"0",2,"1","1","1",20121,45.47649,9.18999,"Entire home/apt",2,5,1,1,"1",200,56,57,1,0,30,28,58,88,363,2,100,10,10,10,10,10,10,"0","0","0","0","1","0","1","0","1","0","1","1","1","1","0","0","1","1","1","0","0","0","0"
"68","1010314",5557838,"1","1",47,"0",4,"1","1","1",20123,45.45853,9.18128,"Entire home/apt",4,3,2,1,"1",550,105,100,2,85,3,10,40,70,70,125,89,9,9,9,9,10,9,"1","1","0","1","0","1","0","0","1","0","0","1","1","1","1","0","0","1","0","0","0","0","0"
"69","1030247",5668913,"1","0",1,"0",2,"1","0","1",20123,45.46092,9.1809,"Entire home/apt",2,3,1,1,"1",130,56,57,1,25,2,0,0,30,269,55,97,10,9,10,10,10,9,"0","1","0","0","0","1","1","0","1","1","1","1","0","0","0","0","1","1","0","0","0","0","0"
"70","1048597",1764565,"1","0",18,"0",1,"1","1","1",20123,45.45845,9.18193,"Entire home/apt",2,3,1,1,"1",105,48,69,1,50,2,16,46,76,351,8,97,10,10,10,10,10,10,"0","1","0","0","0","1","1","0","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"71","1058053",5826134,"1","1",57,"0",2,"1","1","1",20121,45.46811,9.19755,"Entire home/apt",6,4,2,2,"2",200,66,69,4,25,2,10,27,42,314,202,95,10,9,10,10,10,9,"1","0","0","1","1","1","1","0","1","0","0","1","1","1","1","0","1","0","1","0","0","0","0"
"72","1061453",4808213,"1","1",57,"0",2,"1","1","1",20123,45.46706,9.17604,"Entire home/apt",4,3,2,2,"1",140,48,57,2,70,15,15,45,63,94,108,90,9,9,9,9,10,9,"0","0","1","1","1","1","1","0","1","0","0","1","1","1","1","0","0","1","1","1","0","0","0"
"73","1106842",6076704,"0","1",57,"0",1,"1","0","1",20121,45.47421,9.18373,"Entire home/apt",2,3,1,2,"1",130,48,57,1,10,2,17,45,70,338,10,94,10,10,9,9,10,9,"0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","0","0","0","0"
"74","1111330",5056483,"1","1",54,"0",847,"1","1","1",20121,45.47877,9.1832,"Entire home/apt",4,3,1,2,"1",190,66,30,1,0,30,0,0,0,81,1,100,10,10,10,10,10,6,"1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","1","1","0","0","0","1"
"75","1113663",5056483,"1","1",54,"0",847,"1","1","1",20123,45.45921,9.17504,"Entire home/apt",2,3,1,1,"1",203,66,30,1,0,3,14,44,74,308,2,100,10,10,10,10,9,10,"1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","1","1","0","0","0","0"
"76","1119298",5056483,"1","1",54,"0",847,"1","1","1",20122,45.45457,9.20002,"Entire home/apt",2,3,0,1,"1",150,66,30,1,0,30,15,45,75,309,1,60,6,8,8,6,6,6,"1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","1","1","0","0","0","0"
"77","1217287",6454581,"1","1",57,"0",6,"1","0","1",20123,45.4663,9.17001,"Entire home/apt",4,3,1,2,"1",160,1,1,2,40,1,4,25,32,283,10,92,10,10,10,10,10,9,"1","0","0","0","1","1","1","0","1","0","0","1","1","1","1","0","1","0","1","1","0","0","0"
"78","1258803",4138802,"1","1",57,"1",3,"1","1","1",20129,45.47347,9.20558,"Entire home/apt",4,3,1,0,"1",97,1,75,2,30,1,20,45,67,331,220,98,10,10,10,10,10,10,"0","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","0","0","0","1"
"79","1261284",2057519,"1","1",57,"0",1,"1","0","1",20123,45.46092,9.17659,"Entire home/apt",3,3,1,2,"1",150,48,69,2,30,3,25,55,85,85,3,100,10,10,10,10,10,9,"0","1","0","0","0","1","0","0","1","0","1","1","1","0","1","1","0","1","0","0","0","0","0"
"80","1340338",5056483,"1","1",54,"0",847,"1","1","1",20122,45.46414,9.20063,"Entire home/apt",5,5,3,3,"1",260,66,30,1,0,3,30,56,57,276,5,85,8,9,10,10,9,9,"1","1","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","1","1","0","0","0","1"
"81","1375952",4965797,"1","0",57,"0",2,"1","0","1",20144,45.45739,9.16949,"Entire home/apt",2,3,1,2,"1",90,13,57,3,50,1,27,57,87,362,4,90,10,10,10,10,10,10,"0","0","0","0","1","1","0","1","1","1","1","1","1","1","0","0","0","0","1","0","0","0","0"
"82","1421956",3735952,"1","1",57,"0",11,"1","1","1",20121,45.472,9.20504,"Entire home/apt",4,3,2,3,"2",153,66,80,1,50,1,28,58,88,363,13,89,9,9,9,9,9,9,"1","1","1","1","0","1","1","0","1","0","1","1","1","1","1","1","0","0","1","0","0","0","1"
"83","1448128",7772596,"1","1",57,"1",1,"1","1","1",20123,45.45998,9.17112,"Entire home/apt",3,5,2,3,"1",150,1,69,1,0,60,30,60,90,365,3,100,10,9,10,10,10,10,"0","0","0","0","0","1","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0"
"84","1453656",6973311,"1","1",57,"0",1,"1","1","1",20121,45.47448,9.19122,"Entire home/apt",6,6,2,4,"1",145,48,69,4,20,2,0,0,0,187,127,91,9,9,10,10,10,9,"0","1","0","0","1","1","1","0","1","0","1","1","1","1","1","0","1","0","0","1","0","0","0"
"85","1458370",4015119,"1","1",56,"0",19,"1","1","1",20123,45.46873,9.17016,"Entire home/apt",8,8,2,6,"1",225,48,11,6,20,3,0,0,0,0,46,92,9,9,10,9,9,9,"1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","1","1","1","0","0","0"
"86","1482235",6714207,"1","1",57,"0",1,"1","1","1",20121,45.46763,9.19767,"Entire home/apt",3,3,1,2,"1",78,1,99,2,29,2,0,1,4,248,645,93,10,9,10,10,10,9,"1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0"
"87","1572470",7054902,"1","1",57,"0",3,"1","1","1",20123,45.46462,9.18876,"Entire home/apt",4,3,1,2,"1",69,141,80,2,0,1,0,0,0,0,212,80,9,9,9,9,9,8,"1","0","0","0","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","1"
"88","1590932",8486840,"1","1",57,"0",1,"1","1","1",20123,45.45728,9.18399,"Entire home/apt",4,3,1,2,"1",125,1,1,2,100,2,0,0,0,19,256,97,10,10,10,10,10,10,"1","1","0","0","1","1","1","0","1","0","1","1","0","1","0","0","0","1","0","0","0","0","0"
"89","1605816",584494,"1","1",57,"1",1,"1","1","1",20121,45.47542,9.18284,"Entire home/apt",4,3,1,2,"1",99,1,45,2,15,3,3,3,26,292,206,96,10,10,10,10,10,10,"0","1","0","0","1","1","1","0","1","0","0","1","0","1","1","0","1","1","1","1","0","0","0"
"90","1641307",4665660,"0","1",57,"0",4,"1","1","1",20122,45.45705,9.20182,"Entire home/apt",2,3,1,1,"2",60,66,69,1,10,4,29,59,85,85,30,91,10,9,10,10,10,9,"0","0","0","0","1","1","0","0","1","0","0","1","1","1","0","0","0","0","1","1","0","0","0"
